,id,season,week,startDate,homeTeam,homeConference,homeScore,awayTeam,awayConference,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline
18,401641032,2024,1,2024-09-01T01:00:00.000Z,New Mexico State,Conference USA,23.0,Southeast Missouri State,Big South-OVC,16.0,,,,,,,,
19,401636612,2024,1,2024-08-31T23:00:00.000Z,Kansas State,Big 12,41.0,UT Martin,Big South-OVC,6.0,,,,,,,,
20,401641023,2024,1,2024-08-31T23:00:00.000Z,Middle Tennessee,Conference USA,32.0,Tennessee Tech,Big South-OVC,25.0,,,,,,,,
21,401636606,2024,1,2024-08-30T00:00:00.000Z,Kansas,Big 12,48.0,Lindenwood,Big South-OVC,3.0,,,,,,,,
22,401628586,2024,1,2024-08-31T22:00:00.000Z,Liberty,Conference USA,41.0,Campbell,CAA,24.0,,,,,,,,
23,401628581,2024,1,2024-08-29T23:00:00.000Z,Wake Forest,ACC,45.0,North Carolina A&T,CAA,13.0,,,,,,,,
24,401628327,2024,1,2024-08-30T00:00:00.000Z,Missouri,SEC,51.0,Murray State,MVFC,0.0,,,,,,,,
25,401636607,2024,1,2024-08-30T01:00:00.000Z,Utah,Big 12,49.0,Southern Utah,UAC,0.0,,,,,,,,
26,401636613,2024,1,2024-08-31T23:30:00.000Z,Texas Tech,Big 12,52.0,Abilene Christian,UAC,51.0,,,,,,,,
27,401632062,2024,1,2024-08-31T16:00:00.000Z,Louisville,ACC,62.0,Austin Peay,UAC,0.0,,,,,,,,
28,401632064,2024,1,2024-08-31T23:00:00.000Z,Arkansas State,Sun Belt,34.0,Central Arkansas,UAC,31.0,,,,,,,,
29,401628326,2024,1,2024-08-31T22:00:00.000Z,Mississippi State,SEC,56.0,Eastern Kentucky,UAC,7.0,,,,,,,,
30,401645321,2024,1,2024-08-31T23:00:00.000Z,Memphis,American Athletic,40.0,North Alabama,UAC,0.0,,,,,,,,
31,401654662,2024,1,2024-08-24T23:00:00.000Z,Southeast Missouri State,Big South-OVC,37.0,North Alabama,UAC,15.0,,,,,,,,
32,401636610,2024,1,2024-08-31T23:00:00.000Z,Baylor,Big 12,45.0,Tarleton State,UAC,3.0,,,,,,,,
33,401628328,2024,1,2024-08-30T23:00:00.000Z,Oklahoma,SEC,51.0,Temple,American Athletic,3.0,DraftKings,-42.5,Oklahoma -42.5,-42.5,59.5,59.5,,
34,401628319,2024,1,2024-08-31T23:00:00.000Z,Alabama,SEC,63.0,Western Kentucky,Conference USA,0.0,DraftKings,-31,Alabama -31,-31,60,60.5,-20000.0,3500.0
35,401628449,2024,1,2024-08-31T19:30:00.000Z,Indiana,Big Ten,31.0,Florida International,Conference USA,7.0,DraftKings,-20.5,Indiana -20.5,-19.5,50.5,51,-3200.0,1400.0
36,401628454,2024,1,2024-08-31T19:30:00.000Z,Nebraska,Big Ten,40.0,UTEP,Conference USA,7.0,DraftKings,-27.5,Nebraska -27.5,-27.5,49,49,-3600.0,1500.0
37,401643774,2024,1,2024-09-01T00:00:00.000Z,Charlotte,American Athletic,7.0,James Madison,Sun Belt,30.0,DraftKings,7.5,James Madison -7.5,9,51,51,215.0,-265.0
38,401628329,2024,1,2024-08-31T20:15:00.000Z,South Carolina,SEC,23.0,Old Dominion,Sun Belt,19.0,DraftKings,-20,South Carolina -20,-20,54.5,55.5,-2100.0,1100.0
39,401640998,2024,1,2024-08-30T00:00:00.000Z,Jacksonville State,Conference USA,27.0,Coastal Carolina,Sun Belt,55.0,DraftKings,-3.5,Jacksonville State -3.5,-3.5,56.5,57,-180.0,150.0
40,401634302,2024,1,2024-09-01T00:00:00.000Z,Georgia Tech,ACC,35.0,Georgia State,Sun Belt,12.0,DraftKings,-20.5,Georgia Tech -20.5,-20.5,57,57.5,-2100.0,1100.0
41,401628324,2024,1,2024-08-31T23:45:00.000Z,Kentucky,SEC,31.0,Southern Mississippi,Sun Belt,0.0,DraftKings,-25.5,Kentucky -25.5,-25.5,50.5,50.5,-5000.0,1800.0
42,401645322,2024,1,2024-08-31T16:00:00.000Z,Navy,American Athletic,49.0,Bucknell,Patriot,21.0,,,,,,,,
43,401656600,2024,1,2024-08-30T23:00:00.000Z,Maine,CAA,17.0,Colgate,Patriot,14.0,,,,,,,,
44,401644729,2024,1,2024-08-29T23:00:00.000Z,Bowling Green,Mid-American,41.0,Fordham,Patriot,17.0,,,,,,,,
45,401628588,2024,1,2024-08-31T23:00:00.000Z,Rhode Island,CAA,20.0,Holy Cross,Patriot,17.0,,,,,,,,
46,401644727,2024,1,2024-08-29T23:00:00.000Z,Buffalo,Mid-American,30.0,Lafayette,Patriot,13.0,,,,,,,,
47,401645319,2024,1,2024-08-30T22:00:00.000Z,Army,American Athletic,42.0,Lehigh,Patriot,7.0,,,,,,,,
48,401634143,2024,1,2024-08-29T23:00:00.000Z,Mercer,Southern,63.0,Presbyterian College,Pioneer,10.0,,,,,,,,
49,401643776,2024,1,2024-09-01T00:00:00.000Z,Texas State,Sun Belt,34.0,Lamar,Southland,27.0,,,,,,,,
50,401636372,2024,1,2024-08-24T23:30:00.000Z,Norfolk State,MEAC,23.0,Florida A&M,SWAC,24.0,,,,,,,,
51,401628321,2024,1,2024-08-31T23:30:00.000Z,Auburn,SEC,73.0,Alabama A&M,SWAC,3.0,,,,,,,,
52,401636363,2024,1,2024-08-31T23:00:00.000Z,South Florida,American Athletic,48.0,Bethune-Cookman,SWAC,3.0,,,,,,,,
53,401636387,2024,1,2024-08-29T23:00:00.000Z,Louisiana Monroe,Sun Belt,30.0,Jackson State,SWAC,14.0,,,,,,,,
54,401654584,2024,1,2024-08-31T22:00:00.000Z,Tennessee State,Big South-OVC,41.0,Mississippi Valley State,SWAC,21.0,,,,,,,,
55,401645316,2024,1,2024-08-30T00:00:00.000Z,UAB,American Athletic,41.0,Alcorn State,SWAC,3.0,,,,,,,,
56,401628320,2024,1,2024-08-29T23:30:00.000Z,Arkansas,SEC,70.0,Arkansas-Pine Bluff,SWAC,0.0,,,,,,,,
57,401654557,2024,1,2024-09-01T00:00:00.000Z,McNeese,Southland,21.0,Southern,SWAC,7.0,,,,,,,,
58,401654565,2024,1,2024-08-31T23:00:00.000Z,Prairie View,SWAC,9.0,Texas Southern,SWAC,27.0,,,,,,,,
59,401636380,2024,1,2024-09-01T00:00:00.000Z,Louisiana,Sun Belt,40.0,Grambling,SWAC,10.0,,,,,,,,
60,401676691,2024,1,2024-08-31T17:00:00.000Z,Shaw,CIAA,17.0,Elizabeth City State,CIAA,13.0,,,,,,,,
61,401628451,2024,1,2024-08-31T16:00:00.000Z,Maryland,Big Ten,50.0,Connecticut,FBS Independents,7.0,DraftKings,-20.5,Maryland -20.5,-21,47.5,47.5,-1350.0,800.0
62,401675404,2024,1,2024-08-31T19:00:00.000Z,Kentucky State,SIAC,7.0,Virginia Union,CIAA,69.0,,,,,,,,
63,401677383,2024,1,2024-08-31T17:00:00.000Z,Bluefield,CIAA,3.0,Winston-Salem,CIAA,34.0,,,,,,,,
64,401654641,2024,1,2024-08-31T16:30:00.000Z,Georgetown,Patriot,46.0,Davidson,Pioneer,24.0,,,,,,,,
65,401654582,2024,1,2024-08-31T21:00:00.000Z,Northern Iowa,MVFC,35.0,Valparaiso,Pioneer,7.0,,,,,,,,
66,401674363,2024,1,2024-08-29T23:00:00.000Z,Edinboro,Pennsylvania State Athletic,12.0,East Stroudsburg,Pennsylvania State Athletic,24.0,,,,,,,,
67,401674274,2024,1,2024-08-29T23:00:00.000Z,Fairmont State,Mountain East,56.0,Seton Hill College,Pennsylvania State Athletic,24.0,,,,,,,,
68,401676074,2024,1,2024-08-29T23:00:00.000Z,Millersville,Pennsylvania State Athletic,7.0,Clarion,Pennsylvania State Athletic,36.0,,,,,,,,
69,401628584,2024,1,2024-08-30T23:30:00.000Z,Duke,ACC,26.0,Elon,CAA,3.0,,,,,,,,
70,401628582,2024,1,2024-08-29T23:00:00.000Z,UCF,Big 12,57.0,New Hampshire,CAA,3.0,,,,,,,,
71,401628589,2024,1,2024-08-31T22:00:00.000Z,Virginia,ACC,34.0,Richmond,CAA,13.0,,,,,,,,
72,401628590,2024,1,2024-08-31T21:00:00.000Z,Marshall,Sun Belt,45.0,Stony Brook,CAA,3.0,,,,,,,,
73,401674295,2024,1,2024-08-29T23:00:00.000Z,West Liberty,Mountain East,21.0,Walsh,Great Midwest Athletic,41.0,,,,,,,,
74,401655621,2024,1,2024-09-01T00:00:00.000Z,San Diego,Pioneer,27.0,Cal Poly,Big Sky,21.0,,,,,,,,
75,401634301,2024,1,2024-08-31T21:00:00.000Z,California,ACC,31.0,UC Davis,Big Sky,13.0,,,,,,,,
76,401628591,2024,1,2024-08-31T18:30:00.000Z,Cincinnati,Big 12,38.0,Towson,CAA,20.0,,,,,,,,
77,401638359,2024,1,2024-08-31T23:00:00.000Z,Incarnate Word,Southland,28.0,Northern Colorado,Big Sky,7.0,,,,,,,,
78,401643704,2024,1,2024-08-31T22:30:00.000Z,Oregon State,Pac-12,38.0,Idaho State,Big Sky,15.0,,,,,,,,
79,401643697,2024,1,2024-08-24T20:00:00.000Z,New Mexico,Mountain West,31.0,Montana State,Big Sky,35.0,DraftKings,10.5,Montana State -10.5,9,54,53.5,360.0,-470.0
80,401632066,2024,1,2024-09-01T02:00:00.000Z,Utah Tech,UAC,7.0,Montana State,Big Sky,31.0,,,,,,,,
81,401637159,2024,1,2024-08-31T19:00:00.000Z,Washington State,Pac-12,70.0,Portland State,Big Sky,30.0,,,,,,,,
82,401643698,2024,1,2024-08-30T02:00:00.000Z,San José State,Mountain West,42.0,Sacramento State,Big Sky,24.0,,,,,,,,
83,401628460,2024,1,2024-09-01T03:00:00.000Z,Washington,Big Ten,35.0,Weber State,Big Sky,3.0,,,,,,,,
84,401628585,2024,1,2024-08-31T23:00:00.000Z,Albany,CAA,27.0,Long Island University,NEC,21.0,,,,,,,,
85,401654497,2024,1,2024-08-31T22:00:00.000Z,Sacred Heart,FCS Independents,15.0,Delaware State,MEAC,17.0,,,,,,,,
86,401643858,2024,1,2024-08-25T03:59:00.000Z,Hawai'i,Mountain West,35.0,Delaware State,MEAC,14.0,DraftKings,-38,Hawai'i -38,-38,57.5,55.5,,
87,401628458,2024,1,2024-08-29T22:00:00.000Z,Rutgers,Big Ten,44.0,Howard,MEAC,7.0,,,,,,,,
88,401654510,2024,1,2024-08-31T22:00:00.000Z,Hampton,CAA,28.0,Morgan State,MEAC,30.0,,,,,,,,
89,401645320,2024,1,2024-08-31T22:00:00.000Z,East Carolina,American Athletic,42.0,Norfolk State,MEAC,3.0,,,,,,,,
90,401636343,2024,1,2024-09-01T19:00:00.000Z,Alabama State,SWAC,24.0,North Carolina Central,MEAC,31.0,,,,,,,,
91,401636373,2024,1,2024-08-31T22:00:00.000Z,Florida A&M,SWAC,22.0,South Carolina State,MEAC,18.0,,,,,,,,
92,401634197,2024,1,2024-08-31T19:30:00.000Z,Iowa State,Big 12,21.0,North Dakota,MVFC,3.0,,,,,,,,
93,401675555,2024,1,2024-08-31T23:00:00.000Z,University of Texas of the Permian Basin,Lone Star,41.0,Western New Mexico,Lone Star,3.0,,,,,,,,
94,401634206,2024,1,2024-08-30T00:00:00.000Z,Colorado,Big 12,31.0,North Dakota State,MVFC,26.0,DraftKings,-9,Colorado -9,-8,59,59.5,-470.0,360.0
95,401634212,2024,1,2024-08-31T18:00:00.000Z,Oklahoma State,Big 12,44.0,South Dakota State,MVFC,20.0,DraftKings,-9.5,Oklahoma State -9.5,-9,54,54,-500.0,380.0
96,401644728,2024,1,2024-08-29T23:30:00.000Z,Toledo,Mid-American,49.0,Duquesne,NEC,10.0,,,,,,,,
97,401628450,2024,1,2024-08-31T16:00:00.000Z,Iowa,Big Ten,40.0,Illinois State,MVFC,0.0,,,,,,,,
98,401634169,2024,1,2024-08-31T16:00:00.000Z,Purdue,Big Ten,49.0,Indiana State,MVFC,0.0,,,,,,,,
99,401634180,2024,1,2024-09-01T01:00:00.000Z,Montana,Big Sky,29.0,Missouri State,MVFC,24.0,,,,,,,,
100,401634240,2024,1,2024-09-01T00:00:00.000Z,BYU,Big 12,41.0,Southern Illinois,MVFC,13.0,,,,,,,,
101,401628580,2024,1,2024-08-29T22:00:00.000Z,Villanova,CAA,24.0,Youngstown State,MVFC,17.0,,,,,,,,
102,401644730,2024,1,2024-08-29T23:00:00.000Z,Central Michigan,Mid-American,66.0,Central Connecticut,NEC,10.0,,,,,,,,
103,401654646,2024,1,2024-08-31T16:00:00.000Z,Dayton,Pioneer,18.0,St Francis (PA),NEC,10.0,,,,,,,,
104,401628453,2024,1,2024-08-30T23:00:00.000Z,Michigan State,Big Ten,16.0,Florida Atlantic,American Athletic,10.0,DraftKings,-11.5,Michigan State -11.5,-11.5,47,47,-535.0,400.0
105,401643775,2024,1,2024-08-31T21:00:00.000Z,South Alabama,Sun Belt,38.0,North Texas,American Athletic,52.0,DraftKings,-6,South Alabama -6,-7,65,64.5,-218.0,180.0
106,401641039,2024,1,2024-08-31T23:00:00.000Z,Rice,American Athletic,14.0,Sam Houston State,Conference USA,34.0,DraftKings,-10.5,Rice -10.5,-11.5,49,48.5,-345.0,275.0
107,401643702,2024,1,2024-09-01T00:00:00.000Z,San Diego State,Mountain West,45.0,Texas A&M-Commerce,Southland,14.0,,,,,,,,
108,401634133,2024,1,2024-08-31T19:30:00.000Z,Appalachian State,Sun Belt,38.0,East Tennessee State,Southern,10.0,,,,,,,,
109,401628592,2024,1,2024-08-29T23:00:00.000Z,William & Mary,CAA,41.0,VMI,Southern,7.0,,,,,,,,
110,401634303,2024,1,2024-09-01T00:00:00.000Z,SMU,ACC,59.0,Houston Christian,Southland,7.0,,,,,,,,
111,401632063,2024,1,2024-08-31T22:00:00.000Z,West Georgia,UAC,38.0,Samford,Southern,29.0,,,,,,,,
112,401645317,2024,1,2024-08-30T00:00:00.000Z,Tulane,American Athletic,52.0,Southeastern Louisiana,Southland,0.0,,,,,,,,
